2463	403
2342	679
284	508
2338	356
2495	26
2271	231
1940	610
724	631
2176	145
1307	201
1072	579
2203	268
2132	305
1110	193
1593	152
1386	256
587	220
1417	308
100	53
1366	299
383	405
2628	350
2151	344
2242	359
1105	622
873	439
467	513
1813	468
1777	610
1400	617
1229	22
1570	420
2616	278
337	415
1407	23
829	427
533	45
1717	308
615	526
425	281
140	290
2090	455
609	233
398	210
846	113
37	605
2740	120
2097	197
1150	668
1081	529
1828	517
440	420
561	123
1272	8
302	534
563	97
2521	390
2834	475
1592	2
1023	9
198	107
2183	224
1238	76
876	625
905	635
1514	653
987	57
1616	615
2128	262
951	448
2571	658
233	592
1336	586
2336	99
1808	380
2485	176
2762	341
1108	622
944	204
2073	179
324	432
2567	36
855	525
2754	591
1205	390
1458	347
188	419
2421	465
819	180
1452	45
1526	327
1704	541
1910	53
2582	355
1860	246
537	325
2023	499
141	642
2597	602
898	650
2611	214
598	691
1348	372
1475	19
2547	212
1836	520
70	654
1269	665
2134	604
107	591
139	426
1964	80
1923	587
2284	580
2793	199
2446	611
341	675
2432	378
1367	626
1487	50
2267	367
276	257
121	686
1872	259
2479	446
1310	106
892	377
1433	581
2248	78
1804	465
2762	194
2462	644
1714	644
2084	279
2606	626
414	654
897	574
1949	275
2240	194
2026	592
1580	54
1259	257
2460	580
281	222
1202	135
247	642
1725	603
1689	413
2419	162
2514	681
1535	685
6	583
2404	48
1162	218
2137	626
1127	242
269	511
1930	306
373	252
894	429
810	196
133	236
62	52
989	607
2206	239
2718	684
2483	282
294	574
1868	448
1936	111
191	522
164	272
495	625
2127	682
1950	201
2737	339
2016	616
1005	40
1421	681
1411	553
2058	621
761	229
835	476
644	270
907	435
706	676
1488	12
10	570
1830	212
1541	408
1031	79
662	343
2761	67
1993	524
2531	562
2615	483
2594	391
2676	697
71	240
2048	40
1233	94
2464	527
1337	488
255	112
385	644
1207	404
1516	244
2724	156
478	234
1802	122
2700	653
2835	693
2369	514
2686	207
1909	264
292	473
792	362
334	281
2633	496
2057	115
812	609
1080	658
2253	162
1786	78
379	427
2408	603
2523	436
1519	336
412	438
1450	105
2074	48
249	620
1594	468
1922	409
1153	494
892	278
1331	405
2105	688
892	131
722	615
1631	540
509	543
2085	612
1122	36
2198	369
43	210
60	27
436	484
100	355
1375	540
2814	171
1651	153
1730	348
230	506
2362	33
2728	90
241	633
1445	410
1490	182
2554	289
2158	140
2018	517
1586	544
1161	695
212	389
2244	31
801	91
1508	503
26	209
1287	42
2782	162
1658	168
1921	345
1913	155
1822	608
420	363
1310	501
2635	670
231	445
2783	323
1826	479
2398	129
2772	497
2185	253
2725	58
1723	156
1975	551
2253	349
2123	392
1305	13
1585	102
221	66
487	105
2183	330
2768	160
1284	406
1476	326
785	162
2721	119
2142	178
974	576
2537	245
2475	426
1335	122
1789	595
2462	278
1332	644
1072	444
2315	536
2561	529
812	2
2096	186
1993	442
2450	434
1712	49
2163	254
338	358
1922	309
1693	131
1637	430
535	192
2695	349
702	164
281	171
1623	300
1163	216
712	526
2246	558
1040	172
466	329
1148	254
2487	548
1044	650
1451	107
73	580
2661	420
110	89
1573	687
2477	39
1202	485
776	637
2334	109
1611	621
972	165
236	368
1173	315
209	375
1483	489
889	99
2024	86
2363	539
2238	322
446	385
412	590
2082	407
1702	205
117	528
1475	443
1279	321
2762	454
47	467
1149	177
1371	293
1096	186
2764	49
2825	195
1396	535
2449	353
2723	106
2773	506
1219	387
825	223
2837	315
2688	141
984	542
1878	86
1006	134
982	496
2087	340
1559	461
1691	594
2404	586
1636	35
2038	269
