1961	80
1313	65
446	17
754	56
1226	15
2534	69
909	81
2389	16
2090	47
429	45
2627	26
1006	10
1937	85
1993	79
941	32
184	10
2533	3
1131	18
2140	69
1090	57
1157	19
1887	43
569	36
1300	9
280	5
1650	20
1349	15
1612	4
150	16
2530	8
1010	38
222	59
1732	57
626	25
715	15
2123	58
905	40
1057	15
2608	1
78	55
2283	10
2194	63
2207	27
2083	29
535	73
782	28
23	81
2038	78
724	38
2452	67
312	5
800	36
1650	81
1418	52
1452	36
1484	81
2468	15
2118	75
1365	84
2794	38
2357	26
1756	70
2515	37
1450	23
1631	3
2232	4
2659	5
1162	34
2815	32
2793	6
14	85
1756	84
1536	7
1658	22
1539	50
2069	21
284	31
506	19
939	29
661	73
214	58
2711	13
554	4
2039	37
263	64
606	66
1005	31
360	39
2609	70
2628	45
2235	13
2002	64
1086	85
722	8
1606	75
1391	34
1256	20
602	43
2786	21
622	68
1073	29
1997	43
799	28
135	85
1064	67
231	81
1092	34
1246	29
1102	81
1693	22
948	48
1839	41
293	33
42	83
1677	55
2648	85
2174	47
1441	63
170	0
1917	55
2808	48
753	0
187	27
60	54
657	12
2342	43
2039	47
1285	57
893	49
448	47
1186	12
1810	1
1579	44
2069	18
2794	28
2624	72
1565	58
1951	53
1715	19
1438	44
169	4
1813	14
2357	20
1797	33
999	44
1257	49
2094	0
589	28
522	34
651	55
2124	75
1351	20
350	51
1069	83
555	61
1730	28
2516	82
1099	48
427	59
1185	59
1281	51
2255	66
1763	76
1421	56
342	29
1750	71
818	79
1724	66
856	26
210	78
1446	47
173	81
2458	77
2047	67
27	51
1202	51
2803	85
1735	63
1430	69
2578	30
453	8
194	20
1033	7
2725	45
2061	28
508	28
1767	83
1218	80
271	56
368	14
1372	53
2448	24
1876	31
908	67
1846	55
1965	29
318	40
906	81
247	82
2809	15
854	17
2531	71
1362	40
2162	36
2588	52
2146	42
2818	18
775	66
1940	83
2803	79
803	56
2329	30
209	84
1813	1
1839	36
2746	32
666	42
1930	36
1218	8
1569	21
243	60
884	1
1801	6
38	42
2321	0
1994	76
2295	48
1246	2
140	5
2153	59
1518	85
1181	57
710	13
575	23
2683	80
60	41
2753	37
102	28
740	52
1090	72
2796	7
2164	68
2736	50
615	57
2410	46
734	29
856	33
448	15
2097	67
138	85
379	54
938	36
2109	70
1081	77
2265	82
259	45
2043	45
2363	51
583	14
880	59
1292	20
2682	84
1273	71
2718	47
2225	78
879	64
289	25
1589	51
803	43
2654	39
2599	62
1350	79
1623	3
1794	24
2597	51
1806	19
236	78
260	3
614	28
285	5
1045	12
1771	54
2832	15
1853	2
2695	4
207	35
1204	15
2570	84
877	82
279	23
2355	83
1544	44
144	50
1439	38
54	2
1995	31
853	25
265	36
973	25
443	4
1803	56
2158	77
271	80
275	24
831	28
2821	8
2596	20
1753	6
2192	26
888	34
1305	28
451	82
249	80
1535	28
82	77
1384	41
1983	16
412	47
1510	36
2216	72
177	61
1393	23
1983	32
810	44
727	74
2463	45
189	16
2527	14
1434	45
736	39
1727	31
2651	72
182	23
241	51
181	35
885	72
1908	35
1242	48
1548	22
271	24
327	46
2339	49
1946	60
2408	77
557	21
2605	56
693	31
1525	5
498	20
2199	46
851	48
2293	47
1255	71
506	59
669	66
1982	80
2518	35
855	43
2003	59
2585	44
1708	71
2072	42
1807	12
2359	34
752	33
2576	24
610	1
36	21
522	32
1865	48
2647	77
1632	44
1837	71
1624	78
205	79
2781	27
276	47
1255	55
2688	23
1476	26
37	28
83	85
2267	66
2773	16
441	62
567	25
195	85
235	77
867	37
115	53
821	30
391	81
1416	42
2529	33
1564	66
2447	36
2266	70
2620	58
1786	35
1353	67
887	39
1363	30
2738	24
1647	80
44	1
712	35
686	82
1621	38
1617	15
778	28
25	36
2419	16
682	40
1918	76
1775	0
408	73
808	76
2391	9
389	75
796	79
1672	32
248	21
188	76
500	7
2336	28
1067	0
300	2
885	12
1804	31
2462	56
2314	41
2680	74
2365	3
2814	51
901	82
2219	30
1001	23
939	34
2784	3
2612	63
2459	81
2624	16
266	17
675	35
636	7
336	68
2166	8
500	60
849	3
1024	11
88	15
1694	82
2640	64
1062	43
2144	12
708	63
1637	1
2046	75
1605	42
1269	69
2724	36
970	39
2628	28
1663	19
209	10
2062	26
1609	78
1414	37
1128	60
773	0
2525	38
2703	37
346	32
1192	65
1643	40
567	46
451	61
1288	18
951	15
108	52
2653	21
1121	13
1678	84
850	81
369	11
2248	3
1448	8
2735	68
1412	12
1813	63
1533	83
2601	65
1090	12
292	54
104	14
659	30
1362	47
1735	70
2531	35
2334	71
2272	1
2089	77
2358	68
1980	38
110	54
2560	73
1431	12
319	83
1810	27
2037	53
628	18
1269	50
2647	84
11	38
591	66
200	27
79	44
943	66
908	59
1887	84
573	72
1066	58
380	72
737	45
338	22
2663	33
2546	0
17	34
2797	29
1890	38
711	58
2104	77
1421	40
2798	46
516	50
331	84
2446	84
1933	15
759	21
557	39
2028	78
2321	29
2823	78
1816	19
2094	49
2011	84
368	81
2693	16
2355	40
492	25
2677	34
1500	25
2450	38
1520	68
2547	61
757	36
648	63
1088	14
780	52
413	9
1742	51
1476	9
2402	7
1834	45
2224	5
1668	36
1770	80
2441	70
2474	79
1970	48
2688	62
1	85
994	10
688	1
1836	8
2644	70
320	49
458	16
1828	80
522	59
2051	1
2524	35
1079	75
1911	35
2045	48
2253	72
974	55
2838	61
727	75
243	62
1659	71
1228	12
3	61
234	72
1289	35
1884	60
308	40
758	84
763	69
1921	22
430	38
185	24
1218	59
2612	23
406	6
2562	4
1935	83
185	79
963	35
2255	14
1235	85
2456	66
2296	45
2116	36
180	78
1054	29
842	75
326	84
1919	2
1015	9
2805	53
2795	80
2119	55
1903	24
980	47
27	77
2526	0
325	66
2263	15
1435	84
