Drug	ATC	out	test_label
252	165	0.9921597838401794	1.0
253	212	0.9857400059700012	1.0
254	164	0.9905189871788025	1.0
255	191	0.9968839287757874	1.0
256	79	0.9716005921363831	1.0
256	98	0.9808119535446167	1.0
257	163	0.9893471002578735	1.0
258	163	0.99191814661026	1.0
259	87	0.7031847834587097	1.0
259	182	0.8622549176216125	1.0
260	170	0.996417760848999	1.0
260	196	0.9939526915550232	1.0
261	20	0.9964800477027893	1.0
262	162	0.9870189428329468	1.0
263	20	0.9980792999267578	1.0
264	124	0.9921660423278809	1.0
264	193	0.9657468199729919	1.0
265	124	0.9984877109527588	1.0
266	165	0.9919384121894836	1.0
267	31	0.971244752407074	1.0
268	163	0.9960612654685974	1.0
269	56	0.9848737716674805	1.0
270	167	0.8582423329353333	1.0
271	150	0.9878294467926025	1.0
272	4	0.9065956473350525	1.0
272	5	0.9719182848930359	1.0
273	165	0.9830976128578186	1.0
274	135	0.9660230278968811	1.0
274	193	0.9626374840736389	1.0
275	191	0.9968733191490173	1.0
276	136	0.9989086389541626	1.0
277	99	0.958901584148407	1.0
278	125	0.9975281357765198	1.0
279	180	0.9797371029853821	1.0
280	137	0.9871973991394043	1.0
280	193	0.9483708143234253	1.0
281	163	0.9930332899093628	1.0
282	191	0.9949263334274292	1.0
283	192	0.45053914189338684	1.0
284	53	0.9978511333465576	1.0
284	57	0.9965200424194336	1.0
284	98	0.9977537989616394	1.0
285	152	0.871972382068634	1.0
286	125	0.995145857334137	1.0
287	77	0.9969866871833801	1.0
288	126	0.9286704659461975	1.0
288	133	0.9520130753517151	1.0
289	137	0.9895479679107666	1.0
290	135	0.9363731145858765	1.0
291	15	0.9904982447624207	1.0
291	60	0.9966180920600891	1.0
291	89	0.9981100559234619	1.0
291	90	0.9960836172103882	1.0
291	91	0.9975084066390991	1.0
291	92	0.9973499774932861	1.0
291	116	0.9982067346572876	1.0
291	182	0.9980044960975647	1.0
291	186	0.9967600703239441	1.0
291	194	0.989858090877533	1.0
291	195	0.9947301149368286	1.0
291	205	0.989757776260376	1.0
291	209	0.9838475584983826	1.0
291	210	0.991248607635498	1.0
292	138	0.98580002784729	1.0
293	139	0.9946809411048889	1.0
294	87	0.7775108218193054	1.0
294	95	0.875038206577301	1.0
294	98	0.9405576586723328	1.0
294	123	0.4298902451992035	1.0
294	193	0.8586927652359009	1.0
294	204	0.771916925907135	1.0
294	208	0.5333725810050964	1.0
295	125	0.9973537921905518	1.0
296	2	0.9674839377403259	1.0
297	196	0.8246336579322815	1.0
298	163	0.9953386783599854	1.0
299	119	0.9817148447036743	1.0
300	94	0.35395723581314087	1.0
300	182	0.8694283962249756	1.0
300	193	0.9945586323738098	1.0
301	122	0.9987239241600037	1.0
302	157	0.9901266098022461	1.0
303	191	0.9104664325714111	1.0
304	125	0.9974498152732849	1.0
305	49	0.9928985834121704	1.0
305	52	0.9876182079315186	1.0
306	166	0.9950006604194641	1.0
307	86	0.9956589937210083	1.0
308	202	0.7217443585395813	1.0
309	145	0.9975343942642212	1.0
310	160	0.995524525642395	1.0
311	61	0.9386374950408936	1.0
312	145	0.9973710775375366	1.0
312	194	0.9877671003341675	1.0
312	197	0.3244597017765045	1.0
313	129	0.9986598491668701	1.0
314	154	0.34727710485458374	1.0
314	175	0.5546911358833313	1.0
315	145	0.9977682828903198	1.0
316	8	0.7932412028312683	1.0
317	188	0.9600603580474854	1.0
318	166	0.9933738708496094	1.0
318	168	0.7701215744018555	1.0
319	155	0.9642113447189331	1.0
319	165	0.9876769781112671	1.0
320	164	0.9951400756835938	1.0
321	166	0.9917176961898804	1.0
322	163	0.9907671213150024	1.0
323	135	0.9834395051002502	1.0
324	87	0.9431101083755493	1.0
324	128	0.9931015968322754	1.0
324	130	0.972277820110321	1.0
324	193	0.9899300932884216	1.0
325	144	0.9191138744354248	1.0
326	110	0.9075872898101807	1.0
327	68	0.9382352232933044	1.0
327	98	0.9765641689300537	1.0
327	140	0.7559577822685242	1.0
327	145	0.9969075322151184	1.0
328	97	0.7263073325157166	1.0
328	196	0.467104434967041	1.0
329	124	0.9980169534683228	1.0
330	8	0.6677674055099487	1.0
331	129	0.9986509680747986	1.0
332	140	0.9953108429908752	1.0
333	63	0.9981789588928223	1.0
333	64	0.9797892570495605	1.0
333	67	0.968261182308197	1.0
